Price,Area,Bathrooms,Age
217314,2498,2.5,14
238792,2250,2.5,10
222330,2712,3,1
206688,2284,2.5,17
88207,1480,1.5,14
236936,2300,2.5,16
90678,957,1,49
104556,1673,2,18
391842,3003,3.5,88
90678,957,1,49
184515,1472,1.5,3
16858,1629,1,180
84291,1480,2.5,14
150581,1664,2,33
77547,908,1,19
330219,2576,2.5,31
368396,3358,3.5,9
92436,1300,1,10
154528,1785,2.5,1
204643,1743,2.5,0
334556,3296,2.5,6
271791,2815,2.5,1
177998,2564,2.5,34
181225,1944,2.5,25
236742,2412,2.5,10
107912,1308,1,26
232934,2116,2.5,20
187104,2040,2.5,1
148967,2208,2.5,17
115771,1479,1.5,17
163992,2310,2.5,33
261031,2280,2.5,24
145123,1372,1.5,26
130239,1586,1.5,49
64174,672,1,46
172789,1812,2,16
114513,960,2,11
111221,1056,1,27
277828,2988,2.5,9
201928,2322,2.5,22
152404,1508,2,16
180927,2050,1.5,33
198622,1616,2,36
102806,1480,1.5,15
161118,1887,2.5,27
260228,2092,2.5,0
110770,911,1,114
314912,3423,2.5,0
197350,2500,3.5,1
104984,1096,1,67
236742,2412,2.5,10
253973,2464,2.5,2
100839,1480,1.5,17
80130,1225,1,48
145663,1666,2.5,1
162984,1872,1.5,18
142212,1982,1,133
134865,1676,1.5,14
108478,1840,1,8
101375,1820,1.5,35
108459,1292,1.5,25
197581,1702,1.5,16
261031,2280,2.5,24
63852,1536,1.5,30
102086,1302,1.5,16
110963,1888,1,18
105363,1100,1,93
104984,1096,1,67
120476,1248,2,14
149756,1470,2.5,11
247639,1016,2,41
234954,2294,3.5,0
138424,1673,1,27
114513,960,2,11
155855,1332,1.5,9
73892,864,1.5,114
116795,1404,1.5,28
172795,1910,2.5,21
122221,1170,1.5,26
108794,1464,1,87
189654,2320,2.5,16
99574,1628,1.5,30
466044,3853,2.5,5
261031,2280,2.5,24
107892,1375,1.5,20
84291,1480,2.5,14
113444,1656,1,94
95260,1480,1.5,15
234429,1470,2.5,3
124939,1099,1,9
163524,2516,2,40
171171,1822,1.5,12
202836,2284,1.5,29
196317,2359,2.5,1
215824,2056,2.5,2
294133,3981,3,0
209122,3476,2.5,20
145583,1376,2,25
100003,1184,2,19
178851,2002,2.5,14
314912,3423,2.5,0
142057,952,1,102
143697,1376,1.5,14
153129,1560,2,4
317120,3076,3.5,0
269063,3319,2.5,20
261647,1850,2.5,16
285500,3328,2.5,0
115248,1700,2,15
131411,1512,1.5,13
278906,2960,2.5,1
261301,1859,1.5,85
100967,988,1,20
94064,912,1,37
107049,1592,2,16
146161,984,1,41
133155,1334,1.5,7
75094,728,1,22
111702,878,1,28
297174,2748,2.5,3
126311,1471,2.5,4
237583,2762,2.5,17
278906,2960,2.5,1
111394,1272,1.5,1
152491,1875,2.5,31
194880,2278,2.5,0
187087,2027,2.5,15
156797,1672,2.5,0
92932,988,2,19
228291,1986,2.5,1
113444,1656,1,94
54210,792,1,55
261647,1850,2.5,16
253973,2464,2.5,2
104984,1096,1,67
308750,2958,2.5,0
173082,1656,2.5,18
148585,1734,1.5,34
55851,990,1.5,75
115248,1700,2,15
133215,1364,1.5,19
261872,2380,2.5,9
204661,1927,2,3
196512,1428,2,20
112877,1380,1,3
175514,2475,2.5,35
88092,3944,1,185
144335,1274,2,20
94667,912,1,34
138914,1576,1.5,18
136499,1152,1,36
120192,1404,2,7
52360,1310,1.5,120
71904,957,1,45
271339,3056,2.5,6
189665,2203,2.5,1
180927,2050,1.5,33
81580,1336,1.5,20
250976,2394,2.5,0
148585,1734,1.5,34
47630,1235,1,84
107049,1592,2,16
128434,1508,1.5,19
138424,1673,1,27
181516,1924,2,16
104556,1673,2,18
143294,1360,1,53
209122,3476,2.5,20
153129,1560,2,4
173723,1548,2,0
81762,1008,1,41
161118,1887,2.5,27
113371,1177,1.5,36
178216,1512,2,12
152112,1512,2.5,18
136192,1623,1.5,36
224888,1200,1,65
96958,1244,1.5,53
120476,1248,2,14
140238,1322,1,130
133612,1768,1.5,48
163781,1124,1,26
182649,1758,2.5,1
208610,1752,2.5,10
142212,1982,1,133
199684,2275,2.5,0
99903,1360,1,79
98423,1355,1,60
163986,2039,2.5,18
119751,1480,1.5,17
196846,2144,2.5,19
234429,1470,2.5,3
129868,1792,2.5,24
175874,2195,2,1
150909,1512,1.5,7
150434,1666,1.5,38
83617,1272,1.5,115
124013,1524,1.5,180
236215,1392,2.5,4
156797,1672,2.5,0
